scenario,var_value,es_value,var_pct,es_pct,max_loss,max_loss_pct
Baseline,20927.920177792905,32051.348779643893,2.0927920177792902,3.2051348779643893,215710.3155420827,21.57103155420827
COVID-19 Crash,48061.79970273648,48858.3782031322,4.806179970273648,4.88583782031322,48858.3782031322,4.88583782031322
2018 Q4 Selloff,22835.230714435867,25712.537479597166,2.283523071443587,2.5712537479597164,28935.954970640498,2.89359549706405
2022 Rate Hikes,19887.35611080433,30679.165010385397,1.9887356110804328,3.06791650103854,30679.165010385397,3.06791650103854
