confidence_level,time_horizon,historical_var,historical_es,parametric_var,parametric_es,historical_pct,parametric_pct
0.9,1,14242.783365366773,24568.657348936067,17308.07193662174,23759.85508536866,1.4242783365366773,1.7308071936621743
0.9,5,31847.83179376333,54937.187948120816,38702.02540974265,53128.6511064284,3.184783179376333,3.870202540974265
0.9,10,45039.635654917154,77692.91627487222,54732.929225766195,75135.25894529939,4.503963565491715,5.473292922576619
0.9,20,63695.66358752666,109874.37589624163,77404.0508194853,106257.3022128568,6.369566358752666,7.74040508194853
0.95,1,20927.920177792905,32051.348779643893,22259.041319165015,27953.498436021924,2.0927920177792902,2.2259041319165016
0.95,5,46796.25214523442,71668.99464183868,49772.72950362957,62505.92271187908,4.679625214523442,4.977272950362957
0.95,10,66179.89445202156,101355.26422413293,70389.26910036043,88396.72362778387,6.617989445202157,7.038926910036043
0.95,20,93592.50429046885,143337.98928367737,99545.45900725914,125011.84542375816,9.359250429046885,9.954545900725915
0.99,1,36697.14843342199,53241.43953762563,31546.23649403671,36164.20342445626,3.669714843342199,3.1546236494036712
0.99,5,82057.3184775315,119051.47802607589,70539.52923495074,80865.61720921488,8.20573184775315,7.053952923495074
0.99,10,116046.57268289341,168364.21484503904,99757.95892748075,114361.25258694284,11.60465726828934,9.975795892748076
0.99,20,164114.636955063,238102.95605215177,141079.05846990147,161731.23441842975,16.4114636955063,14.107905846990148
