asset,weight,value,mean_return,contribution,contribution_value,pct_contribution
US10YT=RR,0.5,500000.0,-0.0002694666461561871,-0.026353420845210217,26353.420845210218,83.38486312445788
SPX,0.5,500000.0,0.00044051252396941413,-0.0052511412512410895,5251.14125124109,16.615136875542124
