Method,VaR,VaR %
Historical VaR,20927.920177792905,2.0927920177792902
Parametric VaR,22259.041319165015,2.2259041319165016
Basic Monte Carlo,22395.380718346958,2.239538071834696
Multivariate Monte Carlo,24563.00133494829,2.456300133494829
Gaussian Copula,21698.64786135525,2.1698647861355247
t Copula,22207.20056551498,2.220720056551498
PCA Factor,24844.057449342705,2.4844057449342705
Macro Factor,25381.533374314302,2.5381533374314302
