Model,Normal Breach Rate,Stress Breach Rate,Breach Rate Ratio,Normal VaR (%),Stress VaR (%),VaR Ratio
Historical VaR,0.04253611556982344,0.09183673469387756,2.1590296495956873,1.829532179533147,2.5558174226159003,1.3969786654794363
Parametric VaR,0.04253611556982344,0.08571428571428572,2.0150943396226415,1.8659556499693328,2.72710887388274,1.461507873420014
